model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,11.782139253616332,0.006818367623620563,0.848180572555914,102.59380181307141,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.254737708303663,0.001038754323316324,0.30629292251800383,15.629804824486328,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,3.4980310834183985,9.4890166108355e-05,0.25181861657606375,1.427782048888796,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.910423657350373,0.00017763816268007648,0.20951753759946706,2.6728647474658502,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,16.554158392406645,0.0010103856440677884,1.1917118989357667,15.202950360605513,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.7746197793443326,0.00016934935176662186,0.19974119660374148,2.5481456547060155,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,conv,36864,3.3938041596577087,9.206282985182586e-05,0.24431545862077567,1.3852400224723271,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,conv,16384,2.26840587788158,0.00013845250719492065,0.1632995294721418,2.0832506939741675,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,conv,16384,4.794189149683172,0.00029261408384296703,0.34512731604929286,4.402870743064738,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,conv,36864,11.007249448034498,0.0002985907510860053,0.7923972835607165,4.492799747847462,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,conv,16384,6.685262417793274,0.00040803603624226523,0.48126317158151266,6.1395880283441535,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,conv,32768,16.051422584624518,0.0004898505427436682,1.1555206151535686,7.370624799720544,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,conv,147456,29.682979403601752,0.00020130058731826275,2.136838304468759,3.0289057000447244,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,conv,65536,27.461915518108167,0.0004190355761430079,1.9769468622161996,6.305094595150908,0.3034779138507241,0.37797555323256643
