model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,39.735809326171875,1.4641219081568124e-07,1.4716966417100694,2.541878312772244e-10,3.740873776542569e-10,0.006818367623620563
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,4.376490116119385,6.441035083071256e-08,0.06838265806436539,1.0064117317298837e-09,6.882110932285047e-11,0.001038754323316324
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,9.417560577392578,7.779182453759859e-08,0.016349931557973225,1.3505525093333087e-10,2.2081441093048593e-12,9.4890166108355e-05
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,1.1536567211151123,5.108737468617619e-07,0.01802588626742363,1.9956005736787574e-09,3.597246897633863e-11,0.00017763816268007648
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,4.376490116119385,9.281442885367142e-07,0.06838265806436539,3.6255636270965397e-09,2.47925677802343e-10,0.0010103856440677884
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,10.089363098144531,4.699987954381868e-08,0.039411574602127075,7.343731178721669e-10,2.8942800920815564e-11,0.00016934935176662186
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,8.93593978881836,1.4548872684372327e-07,0.01551378435558743,2.5258459521479737e-10,3.918542941705707e-12,9.206282985182586e-05
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,1.0784580707550049,4.878052095591556e-07,0.01685090735554695,1.9054890998404517e-09,3.2109220288416006e-11,0.00013845250719492065
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,12.921630859375,1.0575211462082734e-07,0.050475120544433594,1.6523767909504272e-09,8.340391770804716e-11,0.00029261408384296703
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,9.277739524841309,1.1448943126879385e-07,0.016107186675071716,1.9876637373054487e-10,3.201567086404957e-12,0.0002985907510860053
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,1.041548728942871,3.4840297757909866e-07,0.01627419888973236,1.3609491311683541e-09,2.214835683944225e-11,0.00040803603624226523
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,17.48548698425293,2.6626764793036273e-08,0.068302683532238,2.0802159994559588e-10,1.4208433508953854e-11,0.0004898505427436682
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,18.2590389251709,3.0605653478232853e-07,0.015849860178099737,2.656740753318824e-10,4.210896946956273e-12,0.00020130058731826275
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,2.613205909729004,1.967850721484865e-06,0.020415671169757843,3.843458440400127e-09,7.846678367383932e-11,0.0004190355761430079
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,17.39501953125,4.087135891950311e-07,0.06794929504394531,7.982687288965451e-10,5.4241797384146536e-11,0.0002734092704486102
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,19.039356231689453,6.827640675055591e-08,0.03718624264001846,5.33409427738718e-10,1.9835492406365363e-11,4.954771777027583e-05
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.123042106628418,1.8621221897774376e-07,0.009655418495337168,1.6164255119595813e-10,1.5607264784509393e-12,5.649848915507189e-05
